page_id,route,page_title,surface_kind,roles,templates,source_contract_status,visual_review,keyboard_and_screen_reader,responsive_and_zoom,workflow_validation,reviewer,findings,signoff
UI-PAGE-3FBFC62185,/accounts/approval-history,Approval History - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/approval_history.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-4F40C80BF1,/accounts/approval-history/,Approval History - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/approval_history.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-792F8865C6,/accounts/audit-log,Finance Audit Log - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/audit_log.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-905CBE9E1A,/accounts/audit-log/,Finance Audit Log - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/audit_log.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-67963EAD83,/accounts/batch-payments,Batch Payments - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/batch_payments.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-842FD09DD9,/accounts/batch-payments/,Batch Payments - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/batch_payments.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-8945C58AE9,/accounts/blocked,Blocked Items - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/blocked.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-0EBC809D63,/accounts/blocked/,Blocked Items - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/blocked.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-A24A88B2AA,/accounts/budget-amendments,Budget Amendments · Edify,page,ACCOUNTANT; ADMIN,pages/accounts/budget_amendments.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-03440D35AE,/accounts/budget-amendments/<str:amendment_id>/action,Budget Amendment Action,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-0060445405,/accounts/cleared,Cleared Ledger - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/cleared.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-DFC27C1959,/accounts/cleared/,Cleared Ledger - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/cleared.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-28E4ACED6E,/accounts/monthly-request,Monthly Fund Request - Edify Command Center,partial,ACCOUNTANT; ADMIN; CD; IA; PROJECT_COORDINATOR; RVP,partials/finance/monthly_request/root.html; pages/accounts/monthly_request.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-09AA659966,/accounts/monthly-request/,Monthly Fund Request - Edify Command Center,partial,ACCOUNTANT; ADMIN; CD; IA; PROJECT_COORDINATOR; RVP,partials/finance/monthly_request/root.html; pages/accounts/monthly_request.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-F16EBA5781,/accounts/monthly-request/action,Monthly Team Budget Request,partial,ACCOUNTANT; ADMIN; CD; IA; PROJECT_COORDINATOR; RVP,partials/finance/monthly_request/root.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-A2663A504E,/accounts/partner-invoices/<str:invoice_id>/download,Partner Invoice Download,export,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-0EF5355047,/accounts/partner-invoices/<str:invoice_id>/pay,Partner Invoice Pay,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-A30C35CB1E,/accounts/partner-payments,Partner Payments - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/partner_payments.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-B1C8BB3970,/accounts/partner-payments/,Partner Payments - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/partner_payments.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-4128F483BA,/accounts/partner-payments/<str:activity_id>/pay,Finance Pay Partner,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-1E6768AEE6,/accounts/reimbursements,Finance Reimbursements,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-D6E49D7E06,/accounts/reimbursements/,Reimbursements View,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-219CE2DFB9,/accounts/reimbursements/<str:claim_id>/pay,Finance Pay Reimbursement,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-549C21262B,/accounts/returned,Returned Items - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/returned.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-A6286CD87F,/accounts/returned/,Returned Items - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/returned.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-791559C28C,/accounts/transport-payments/<str:payment_id>/pay,Pay Transport,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-3983B87730,/accounts/variance-review,Variance Review - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/variance_review.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-EE25FEFDD0,/accounts/variance-review/,Variance Review - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/variance_review.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-6DBDFF8C4E,/accounts/weekly-requests,Weekly Fund Requests - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/weekly_requests.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-B19D738D84,/accounts/weekly-requests/,Weekly Fund Requests - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/weekly_requests.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-8BB0A3532D,/actions/<str:action_id>/<str:transition>,Action Transition,partial,ACCOUNTANT; ADMIN; BUSINESS_TRANSFORMATION; CCEO; CD; HR; IA; MFI_ADMIN; MFI_OFFICER; PARTNER; PL; PROJECT_COORDINATOR; RPL; RVP,partials/actions/table.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-0A80841654,/actions/mine,My Actions,partial,ACCOUNTANT; ADMIN; BUSINESS_TRANSFORMATION; CCEO; CD; HR; IA; MFI_ADMIN; MFI_OFFICER; PARTNER; PL; PROJECT_COORDINATOR; RPL; RVP,partials/actions/table.html; pages/actions/workspace.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-EF315695FE,/actions/sent,Team Assignments,partial,ADMIN; CD; IA; PL; RPL; RVP,partials/actions/table.html; pages/actions/workspace.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-4CDAC86216,/activities/<str:activity_id>,Activity Details,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/activity_detail_drawer.html; pages/my_plan/detail.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-C4062CB9FE,/activities/<str:activity_id>/attendance,Attendance Upload Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/attendance_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-F809591FF2,/activities/<str:activity_id>/attendance/action,Attendance Upload Action,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-749CB57A91,/activities/<str:activity_id>/closure,Closure Workspace - Edify Command Center,page,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,pages/closure/activity_closure_detail.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-5F87CAA95C,/activities/<str:activity_id>/closure/,Closure Workspace - Edify Command Center,page,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,pages/closure/activity_closure_detail.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-12D828B528,/activities/<str:activity_id>/closure/close,Close Activity,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-6089148B64,/activities/<str:activity_id>/complete,Complete Activity Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/complete_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-370EF7938B,/activities/<str:activity_id>/complete/action,Complete Activity Action,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-103AEF5887,/activities/<str:activity_id>/evidence,Evidence Upload Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/evidence_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-FCDBCAD3AE,/activities/<str:activity_id>/evidence/action,Evidence Upload Action,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-7D426C803E,/activities/<str:activity_id>/evidence/detail,Evidence Packet,page,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,pages/my_plan/evidence_packet.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-FCEE2736D1,/activities/<str:activity_id>/partner-ssa-complete,Partner Ssa Completion Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/partner_ssa_completion_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-E3902C4B96,/activities/<str:activity_id>/partner-ssa-complete/action,Partner Ssa Completion Action,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-4358248AFA,/activities/<str:activity_id>/reopen,Reopen Activity,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-07EA2F4E83,/activities/<str:activity_id>/salesforce-id,Salesforce Id Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/salesforce_id_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-3A0D34024C,/activities/<str:activity_id>/salesforce-id/action,Salesforce Id Action,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-468DC25FE4,/activities/<str:activity_id>/ssa-upload,Ssa Evidence Upload Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/ssa_upload_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-087E0CC83B,/activities/<str:activity_id>/ssa-upload/action,Ssa Evidence Upload Action,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-DC7C6A4D74,/activities/<str:activity_id>/start,Start Activity Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/start_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-317868B579,/activities/<str:activity_id>/start/action,Start Activity Action,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-0E38962C28,/activities/<str:activity_id>/submit,Submit For Review Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/submit_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-B729FE2F78,/activities/<str:activity_id>/submit/action,Submit For Review Action,action,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-3F3D66D665,/activities/<str:activity_id>/timeline,Activity Timeline Drawer,drawer,ACCOUNTANT; ADMIN; CCEO; CD; IA; PARTNER; PL; PROJECT_COORDINATOR,partials/my_plan/timeline_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-D28F5CE44D,/activities/<str:activity_id>/timeline,Activity Journey Timeline - Edify Command Center,page,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,pages/closure/activity_timeline.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-3D8032E1C9,/activities/<str:activity_id>/timeline/,Activity Timeline · Edify,page,ADMIN,pages/ia/activity_timeline.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-9A4BA95E31,/activities/closure,Activity Closure Center - Edify,page,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,pages/closure/readiness_queue.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-90CD8CB5FA,/activities/closure/,Activity Closure Center - Edify,page,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,pages/closure/readiness_queue.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-066BC4C799,/activities/closure/blocked,Blocked Closures - Edify Command Center,page,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,pages/closure/blocked_closure.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-773AE497F1,/activities/closure/blocked/,Blocked Closures - Edify Command Center,page,ACCOUNTANT; ADMIN; CCEO; CD; IA; PL; PROJECT_COORDINATOR,pages/closure/blocked_closure.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-D963B414A9,/admin-ops/incidents,System Incidents,page,ADMIN,pages/admin_ops/incidents.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-06180AB33B,/admin-ops/incidents/<str:incident_id>,Edify,page,ADMIN,pages/admin_ops/incident_detail.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-B2C9E9652D,/admin-ops/incidents/<str:incident_id>/acknowledge,Admin Acknowledge Incident,action,ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-E15AB1ACED,/admin-ops/incidents/<str:incident_id>/resolve,Admin Resolve Incident,action,ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-F1190B252B,/admin-ops/maintenance,Maintenance Calendar,page,ADMIN,pages/admin_ops/maintenance.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-6816D23933,/admin-ops/my-plan,Admin My Plan,page,ADMIN,pages/admin_ops/my_plan.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-34DFF5A7F8,/admin-ops/planning,Admin Planning,page,ADMIN,pages/admin_ops/planning.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-FB09C59B79,/admin-ops/support,Support Tickets,page,ADMIN,pages/admin_ops/support_queue.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-7A4D5FCCB3,/admin-ops/team-plans,Team Plans,page,ADMIN,pages/admin_ops/team_plans.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-42D09463D8,/admin-ops/tickets/<str:ticket_id>/resolve,Admin Resolve Ticket,action,ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-493DF36051,/admin-ops/tickets/<str:ticket_id>/triage,Admin Triage Ticket,action,ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-B9C87ACD12,/admin-ops/work-items/<str:item_id>/complete,Admin Complete Work Item,action,ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-66BD8337BE,/admin-ops/work-items/<str:item_id>/schedule,Admin Schedule Work Item,action,ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-A7604B6C4D,/admin-ops/work-items/<str:item_id>/start,Admin Start Work Item,action,ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-FB1C4EF910,/admin-panel,Admin Dashboard,page,ADMIN,pages/admin/index.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-A4ED9D0F21,/admin-panel/audit-log,Audit Log,page,ADMIN,pages/admin/audit_log.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-BFFF48835B,/admin-panel/data-quality-center,Data Quality Center,page,ADMIN; IA,pages/admin/data_quality_center.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-A79A9C56D9,/admin-panel/notifications-mgmt,Notification Logs,page,ADMIN,pages/admin/notifications_mgmt.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-66E337164F,/admin-panel/page-access-matrix,Access Matrix,page,ADMIN,pages/admin/page_access_matrix.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-1E3D9DE8A8,/admin-panel/region-district-setup,District Setup,page,ADMIN,pages/admin/region_district_setup.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-38914F73C2,/admin-panel/roles-permissions,Roles & Permissions,page,ADMIN,pages/admin/roles_permissions.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-0529F1E7E7,/admin-panel/school-upload-history,Upload History,page,ADMIN; IA,pages/admin/school_upload_history.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-F016E31E19,/admin-panel/staff-setup-queue,Staff Setup Queue,page,ADMIN; CD; HR,pages/admin/staff_setup_queue.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-9D4E8D9905,/admin-panel/users,User Management,page,ADMIN; CD; HR,pages/admin/users.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-91F4AA5CD6,/admin-panel/users/<str:user_id>,Manage User:,page,ADMIN; CD; HR,pages/admin/user_detail.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-8D0400A928,/admin-panel/workflow-rules,Workflow Rules,page,ADMIN,pages/admin/workflow_rules.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-D2B38D8D70,/analytics,Overview,page,ACCOUNTANT; ADMIN; CCEO; CD; HR; IA; PL; PROJECT_COORDINATOR; RPL; RVP,pages/analytics/workspace.html; partials/analytics/panel.html; partials/analytics/scope.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-6D56DC65A1,/analytics/,Overview,page,ACCOUNTANT; ADMIN; CCEO; CD; HR; IA; PL; PROJECT_COORDINATOR; RPL; RVP,pages/analytics/workspace.html; partials/analytics/panel.html; partials/analytics/scope.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-2ED079648B,/analytics/closure-quality,Closure Quality,page,ADMIN; IA,pages/analytics/workspace.html; partials/analytics/closure_quality_workspace.html; partials/analytics/panel.html; partials/analytics/scope.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-21F0B4B97B,/analytics/country-director,Overview,page,ADMIN; CD,pages/analytics/workspace.html; partials/analytics/cd/body.html; partials/analytics/panel.html; partials/analytics/scope.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-8718298CAA,/analytics/country-director/drilldown,Cd Analytics Drilldown,partial,ADMIN; CD,partials/analytics/cd/drilldown.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-F58E426EBA,/analytics/country-director/export,Cd Analytics Export,export,ADMIN; CD,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-8F013D0E67,/analytics/country-director/ssa-heatmap,Cd Ssa Heatmap,partial,ADMIN; CD,partials/analytics/cd/district_heatmap.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-D674288529,/analytics/customize-dashboard,Analytics Customize Dashboard,drawer,ACCOUNTANT; ADMIN; CCEO; CD; HR; IA; PL; PROJECT_COORDINATOR; RPL; RVP,partials/schools/toast_success.html; partials/analytics/customize_dashboard_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-E9BCF7A69A,/analytics/drilldown,Analytics Drilldown,drawer,ACCOUNTANT; ADMIN; CCEO; CD; HR; IA; PL; PROJECT_COORDINATOR; RPL; RVP,partials/analytics/drilldown_drawer.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-6976FECD39,/analytics/export,Analytics Export,export,ACCOUNTANT; ADMIN; CCEO; CD; HR; IA; PL; PROJECT_COORDINATOR; RPL; RVP,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-F3AF182F18,/analytics/people,People Analytics,page,ADMIN; CD; HR; RVP,pages/analytics/workspace.html; partials/analytics/panel.html; partials/analytics/scope.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-B5ED79ABAD,/analytics/program-lead,Overview,page,ADMIN; PL,pages/analytics/workspace.html; partials/analytics/pl/body.html; partials/analytics/panel.html; partials/analytics/scope.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-8890670650,/analytics/program-lead/drilldown,Pl Analytics Drilldown,partial,ADMIN; PL,partials/analytics/pl/drilldown.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-5762A28C1E,/analytics/program-lead/export,Pl Analytics Export,export,ADMIN; PL,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-5C082E0BC3,/analytics/publishing,Publishing,page,ADMIN; CD; IA,pages/analytics/workspace.html; partials/analytics/panel.html; partials/analytics/scope.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
